State/Territory,Primary Counties,Contiguous Counties
Alabama,67,0
Alaska,0,0
Arizona,0,2
Arkansas,13,17
California,24,8
Colorado,4,18
Connecticut,0,0
Delaware,0,0
Florida,8,4
Georgia,102,14
Hawaii,0,0
Idaho,0,0
Illinois,0,0
Indiana,0,0
Iowa,0,0
Kansas,13,17
Kentucky,0,12
Louisiana,0,9
Maine,0,0
Maryland,0,0
Massachusetts,0,0
Michigan,0,0
Minnesota,0,0
Mississippi,69,10
Missouri,0,0
Montana,0,0
Nebraska,0,1
Nevada,2,6
New Hampshire,0,0
New Jersey,0,0
New Mexico,0,1
New York,0,0
North Carolina,9,12
North Dakota,0,0
Ohio,0,0
Oklahoma,48,19
Oregon,0,0
Pennsylvania,0,0
Puerto Rico,0,0
Rhode Island,0,0
South Carolina,16,6
South Dakota,0,0
Tennessee,66,14
Texas,14,19
Utah,2,7
Vermont,0,0
Virgin Islands of the U.S.,0,0
Virginia,0,2
Washington,0,0
West Virginia,0,0
Wisconsin,0,0
Wyoming,0,1
