State,Value,CV (%)
ALABAMA,4744000,35.4
ALABAMA,1790,25.8
ALABAMA,3231,21.9
ALABAMA,115836000,10.4
ALABAMA,27648000,38.7
ALABAMA,17109000,22.4
ALABAMA,35638000,32
ALABAMA,10205000,23.1
ALABAMA,77597000,16.6
ALABAMA,24299000,47.5
ALABAMA,25210000,36.7
ALABAMA,16787000,29
ALABAMA,20383000,19.1
ALABAMA,16859000,59.4
ALABAMA,29603000,39.4
ALABAMA,6244000,24.5
ALABAMA,81215000,13.7
ALABAMA,23205000,45.2
ALABAMA,15621000,24
ALABAMA,19871000,24.5
ALABAMA,7401000,25
ALABAMA,79692000,14.2
ALABAMA,17708000,27.5
ALABAMA,57845000,19.6
ALABAMA,56092000,18.1
ALABAMA,12637000,40.1
ALABAMA,14497000,34.4
ALABAMA,14236000,33.2
ALABAMA,17049000,21.8
ALABAMA,13424000,72.8
ALABAMA,16037000,31.8
ALABAMA,5972000,25.3
ALABAMA,34621000,13.6
ALABAMA,4443000,48.6
ALABAMA,21505000,36.9
ALABAMA,3335000,34.1
ALABAMA,24881,13.3
ALABAMA,15112,21.9
ALABAMA,2963,26.5
ALABAMA,2538,31.2
ALABAMA,3524,20
ALABAMA,21679,12.7
ALABAMA,2457,36
ALABAMA,646,42.9
ALABAMA,5028,22.7
ALABAMA,5126,34.5
ALABAMA,7245,26.3
ALABAMA,2296,33.5
ALABAMA,4202,17.2
ALABAMA,21011,15.3
ALABAMA,13718,23.9
ALABAMA,2713,28.4
ALABAMA,1825,39.7
ALABAMA,2465,21.2
ALABAMA,20223,15.5
ALABAMA,2823,25.1
ALABAMA,17544,20.9
ALABAMA,18774,14.3
ALABAMA,1969,42.3
ALABAMA,478,54.9
ALABAMA,4137,26.5
ALABAMA,4432,39.3
ALABAMA,6337,29.3
ALABAMA,1664,42.2
ALABAMA,3964,17.7
ALABAMA,3870,19.6
ALABAMA,1394,32.3
ALABAMA,2905,20.7
ALABAMA,695,44.3
ARKANSAS,75758000,85.5
ARKANSAS,6034,28.4
ARKANSAS,5787,22.6
ARKANSAS,713251000,8.8
ARKANSAS,264614000,19.2
ARKANSAS,30283000,31.6
ARKANSAS,54237000,19.6
ARKANSAS,180764000,24.5
ARKANSAS,48978000,43.7
ARKANSAS,112361000,22.1
ARKANSAS,407846000,14.2
ARKANSAS,116273000,17.3
ARKANSAS,183013000,27.2
ARKANSAS,475009000,12.8
ARKANSAS,27025000,39.2
ARKANSAS,80964000,18.3
ARKANSAS,35748000,56.8
ARKANSAS,79684000,17.8
ARKANSAS,8702000,37.9
ARKANSAS,646819000,7.4
ARKANSAS,239297000,16.7
ARKANSAS,26857000,35.3
ARKANSAS,43399000,19.8
ARKANSAS,167239000,25.9
ARKANSAS,47338000,45.2
ARKANSAS,106794000,22.8
ARKANSAS,554628000,9.3
ARKANSAS,92191000,17.4
ARKANSAS,235966000,9.9
ARKANSAS,364088000,12.4
ARKANSAS,36245000,28.6
ARKANSAS,372664000,14.8
ARKANSAS,110136000,18
ARKANSAS,164019000,25.4
ARKANSAS,442546000,11.4
ARKANSAS,24018000,43.7
ARKANSAS,69240000,19.5
ARKANSAS,35065000,57.9
ARKANSAS,69324000,16.4
ARKANSAS,6626000,46.8
ARKANSAS,66432000,60.5
ARKANSAS,35182000,50.3
ARKANSAS,28058,12.7
ARKANSAS,1241,15.4
ARKANSAS,8877,23
ARKANSAS,5160,26.6
ARKANSAS,3958,10.2
ARKANSAS,7068,34.4
ARKANSAS,1486,14.7
ARKANSAS,24969,14.7
ARKANSAS,1895,14.6
ARKANSAS,932,23.7
ARKANSAS,4138,8.6
ARKANSAS,4512,37
ARKANSAS,7397,25.2
ARKANSAS,5820,35.7
ARKANSAS,2486,14.7
ARKANSAS,3444,32.7
ARKANSAS,24319,13.9
ARKANSAS,1040,16
ARKANSAS,7051,25.1
ARKANSAS,4510,29.9
ARKANSAS,3559,9.4
ARKANSAS,6751,36
ARKANSAS,1404,14.9
ARKANSAS,22452,13.8
ARKANSAS,1868,54.4
ARKANSAS,5472,24
ARKANSAS,17908,15.6
ARKANSAS,564,28.4
ARKANSAS,21905,15.9
ARKANSAS,1607,15.5
ARKANSAS,808,20
ARKANSAS,3819,8.5
ARKANSAS,4134,40.2
ARKANSAS,6606,27.9
ARKANSAS,5665,36.6
ARKANSAS,2208,13.7
ARKANSAS,1887,25
ARKANSAS,3739,30
ARKANSAS,3064,36.6
CALIFORNIA,44537000,27.3
CALIFORNIA,3066,22.6
CALIFORNIA,22023,27
CALIFORNIA,1944152000,12.3
CALIFORNIA,208445000,22.6
CALIFORNIA,493665000,31.6
CALIFORNIA,192870000,21.8
CALIFORNIA,422158000,41.2
CALIFORNIA,326090000,52.5
CALIFORNIA,215775000,40.6
CALIFORNIA,1413288000,19.3
CALIFORNIA,212191000,22.8
CALIFORNIA,288955000,29.1
CALIFORNIA,801038000,13.9
CALIFORNIA,44693000,25.2
CALIFORNIA,395680000,48.4
CALIFORNIA,180414000,76.5
CALIFORNIA,484821000,57.1
CALIFORNIA,1608178000,14.3
CALIFORNIA,145413000,25.4
CALIFORNIA,473460000,32.9
CALIFORNIA,125471000,25.3
CALIFORNIA,348580000,49.1
CALIFORNIA,296335000,57.7
CALIFORNIA,163488000,51.5
CALIFORNIA,1419302000,17.1
CALIFORNIA,188877000,42.2
CALIFORNIA,403684000,15.6
CALIFORNIA,1086083000,24.7
CALIFORNIA,1216682000,22.2
CALIFORNIA,159343000,23.4
CALIFORNIA,232153000,34.6
CALIFORNIA,600358000,16.3
CALIFORNIA,354687000,53.5
CALIFORNIA,442682000,62.4
CALIFORNIA,335974000,19
CALIFORNIA,20205000,30.8
CALIFORNIA,67399000,40.8
CALIFORNIA,73578000,42.6
CALIFORNIA,29755000,28.6
CALIFORNIA,196606000,20.1
CALIFORNIA,200680000,26.4
CALIFORNIA,14362000,45.1
CALIFORNIA,40993000,67.7
CALIFORNIA,42139000,35.4
CALIFORNIA,60762,11.3
CALIFORNIA,1820,16.9
CALIFORNIA,26478,22.9
CALIFORNIA,6610,38.2
CALIFORNIA,8221,32.1
CALIFORNIA,15092,29.4
CALIFORNIA,2025,26.9
CALIFORNIA,50692,15
CALIFORNIA,7543,35.9
CALIFORNIA,2040,23.2
CALIFORNIA,13472,29.9
CALIFORNIA,4485,28.8
CALIFORNIA,16429,31.3
CALIFORNIA,8336,49.3
CALIFORNIA,16667,40.5
CALIFORNIA,54700,12.5
CALIFORNIA,1430,20.9
CALIFORNIA,24931,24.3
CALIFORNIA,5379,46.1
CALIFORNIA,7470,35.1
CALIFORNIA,13850,31.9
CALIFORNIA,1610,32.5
CALIFORNIA,50173,11.8
CALIFORNIA,4528,50.4
CALIFORNIA,19225,27.1
CALIFORNIA,34003,19.7
CALIFORNIA,46124,16.4
CALIFORNIA,6884,39.2
CALIFORNIA,1692,26.2
CALIFORNIA,11897,33.8
