Program,Year,Period,Geo Level,State,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2014,YEAR,NATIONAL,US TOTAL,BUSINESS ACTIVITY,"BUSINESS ACTIVITY, (EXCL AG LANDLORD), (EXCL AG & FINANCE SECTORS), OWNERSHIP TYPE, CORPORATION & TRUST - CONDUCT BUSINESS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","17,044",18.4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,BUSINESS ACTIVITY,"BUSINESS ACTIVITY, (EXCL AG LANDLORD), AG SECTOR, OWNERSHIP TYPE, CORPORATION & TRUST - CONDUCT BUSINESS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","3,681",18.9
CENSUS,2014,YEAR,NATIONAL,US TOTAL,BUSINESS ACTIVITY,"BUSINESS ACTIVITY, (EXCL AG LANDLORD), FINANCE SECTOR, OWNERSHIP TYPE, CORPORATION & TRUST - CONDUCT BUSINESS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","22,275",12.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,BUSINESS ACTIVITY,"BUSINESS ACTIVITY, (EXCL AG LANDLORD), OWNERSHIP TYPE, CORPORATION & TRUST - CONDUCT BUSINESS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","38,641",10.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, (EXCL LAND SALES AND RENT), ASSOCIATED WITH AG LAND, OWNED, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","4,480,789,000",16.9
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, (EXCL LAND SALES AND RENT), ASSOCIATED WITH AG LAND, OWNED, RENTED TO OTHERS - RECEIPTS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","257,361",5.4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, 25 TO 49 PCT, ASSOCIATED WITH AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION & TRUST - RECEIPTS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","3,279",22.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, 50 TO 74 PCT, ASSOCIATED WITH AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION & TRUST - RECEIPTS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","1,459",31.9
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, 75 TO 100 PCT, ASSOCIATED WITH AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION & TRUST - RECEIPTS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","305,843",4.4
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, LT 25 PCT, ASSOCIATED WITH AG LAND, OWNED, RENTED TO OTHERS, OWNERSHIP TYPE, CORPORATION & TRUST - RECEIPTS, MEASURED IN COUNT","LANDLORDS, NON-OPERATING","LANDLORDS, NON-OPERATING: (TOTAL)","26,543",14.6
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED","LANDLORDS, COMBINED: (TOTAL)","31,164,137,000",2.2
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (1,000 TO 9,999 ACRES)","4,620,710,000",5.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (1.0 TO 49.0 ACRES)","2,395,590,000",23.3
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (10,000 OR MORE ACRES)","611,750,000",31.8
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (100 TO 199 ACRES)","5,580,668,000",3.1
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (200 TO 499 ACRES)","9,000,473,000",3.5
CENSUS,2014,YEAR,NATIONAL,US TOTAL,"INCOME, FARM-RELATED","INCOME, FARM-RELATED, RENT, LAND & BUILDINGS, RENTED TO OTHERS - RECEIPTS, MEASURED IN $","LANDLORDS, COMBINED, AREA RENTED OUT","LANDLORDS, COMBINED, AREA RENTED OUT: (50.0 TO 99.0 ACRES)","3,261,064,000",6.1
