ALABAMA,"AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - ACRES","73,572",7.6
ALABAMA,"AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - ACRES","66,571",7.8
ALABAMA,"AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT","2,115",27.7
ALABAMA,"AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT","1,834",4.5
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - ACRES","2,022,267",4.7
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - ACRES","1,559,153",12.3
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - ACRES","463,114",2.1
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT","26,289",2.4
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT","23,217",3.7
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT","3,073",2.3
ALABAMA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES", (D),2.6
ALABAMA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES", (D),2.9
ALABAMA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES",17,15.9
ALABAMA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",2,16
ALABAMA,"AG LAND, ORGANIC - ACRES","1,545",79.9
ALABAMA,"AG LAND, ORGANIC - ACRES","1,300",22.2
ALABAMA,"AG LAND, ORGANIC - ACRES",245,6
