NH,tobacco,3
AZ,dairy,1
SD,cotton,1
ND,dairy,1
LA,dairy,6
NH,dairy,4
WV,grapes,1
TX,apples,1
MO,corn,10
TX,oranges,3
MA,hay,1
NV,rice,1
OK,cotton,2
IL,beans,8
NE,corn,1
VT,oats,1
MD,dairy,2
NV,cultivation,1
PA,beans,1
CT,corn,2
AK,dairy,2
UT,Sheep,1
NY,pears,1
ME,potatoes,5
OR,wheat,5
CA,oats,1
NM,corn,1
VA,rice,3
HI,corn,1
FL,beans,2
MI,apples,7
SD,pears,1
KS,Beef,1
ME,dairy,6
OH,alfalfa,2
HI,rice,2
AK,fishing,1
ID,beans,2
RI,cultivation,1
SC,dairy,8
RI,rice,8
SD,wheat,2
UT,apples,1
IL,sorghum,1
LA,potatoes,1
OK,wheat,2
KS,wheat,2
ND,fishing,1
NE,rice,4
MO,rice,2
MS,peanuts,1
OH,grapes,1
NY,fishing,1
NJ,tomatoes,1
AZ,cotton,2
MI,beans,3
AR,Sheep,1
FL,apples,1
IA,rice,1
FL,oranges,3
UT,cherries,2
OK,dairy,2
ID,apples,2
ME,Beef,1
ID,barley,1
ME,wheat,3
WY,oats,1
UT,beans,2
MT,rice,11
OR,almonds,1
NC,corn,8
CT,strawberries,2
MS,beans,2
OH,wheat,1
WY,cotton,1
GA,corn,7
NJ,peaches,1
ME,cotton,1
KY,Sheep,5
OH,oats,2
IN,wheat,9
WV,wheat,1
RI,Sheep,1
ND,pears,1
CA,almonds,1
MD,peaches,1
TX,beans,1
AK,peppers,2
MI,corn,2
MN,dairy,10
GA,rice,2
OR,tobacco,3
MI,hay,1
OH,cotton,1
CA,fishing,1
WY,wheat,2
MS,sorghum,1
NC,rice,7
IA,corn,3
KY,blackberries,1
TN,wheat,4
TX,rice,34
LA,tomatoes,1
AK,pears,1
UT,corn,8
WA,dairy,1
CO,dairy,3
MS,corn,23
NC,beans,1
NJ,oats,1
AL,peanuts,2
AK,Beef,2
GA,beans,1
ID,blackberries,1
SD,fishing,1
WV,peaches,1
MT,Beef,1
TN,corn,3
SD,peanuts,1
DE,oranges,2
MA,dairy,1
NH,corn,1
LA,corn,1
TX,cotton,4
SC,rice,2
NJ,rice,7
IA,peppers,2
MD,hay,2
MI,Beef,4
MD,corn,2
NE,dairy,12
MS,wheat,1
OH,beans,1
KS,apples,1
WI,rice,11
MO,dairy,2
OK,peanuts,1
SC,beans,9
CT,tobacco,8
IA,pears,1
CA,apples,1
WV,corn,1
IN,corn,7
AK,corn,1
NM,alfalfa,1
KY,grapes,1
MI,wheat,7
OK,barley,1
ME,rice,5
CT,dairy,6
PA,potatoes,1
GA,oats,2
HI,dairy,1
ID,grapes,2
NC,cotton,1
UT,peaches,1
NE,grapes,1
SD,barley,1
NM,dairy,12
WY,corn,1
WV,hay,1
MT,wheat,5
OH,rice,2
LA,beans,9
AR,dairy,1
TN,beans,1
PA,alfalfa,3
IN,rice,19
WV,rice,3
VT,Sheep,3
AK,rice,2
TX,pears,1
IL,dairy,2
OH,corn,7
NC,wheat,9
OR,apples,3
MN,peanuts,1
WY,rice,3
PA,dairy,1
CT,potatoes,1
CO,barley,1
TX,peppers,1
IN,beans,1
AZ,rice,2
NJ,corn,1
ND,rice,5
TX,tomatoes,1
NH,rice,11
LA,rice,7
ID,fishing,1
UT,cotton,1
TX,wheat,2
TN,rice,13
ID,potatoes,2
KY,fishing,1
MS,cotton,4
NV,dairy,1
WI,corn,1
KY,potatoes,1
FL,potatoes,1
MA,fishing,1
MD,rice,2
IL,Beef,4
NH,apples,1
KY,cotton,1
DE,hay,1
CO,lettuce,1
MS,potatoes,1
RI,cotton,1
WA,rice,4
SD,corn,2
CO,rice,1
KY,oats,2
OH,Sheep,5
IA,fishing,1
KS,corn,3
VT,hay,1
OK,corn,2
MD,watermelon,1
MO,cotton,2
LA,strawberries,1
MD,apples,1
AL,wheat,1
MN,beans,1
ID,cotton,1
NY,rice,9
WV,apples,1
SD,sorghum,1
CO,beans,1
AR,wheat,1
IN,peanuts,1
AK,peanuts,1
OH,blackberries,1
NC,tobacco,6
MN,rice,16
PA,peppers,1
IL,wheat,7
OK,sorghum,1
HI,cotton,1
PA,wheat,1
OR,rice,1
ID,peaches,1
MI,dairy,1
CT,tomatoes,1
WV,blackberries,1
AR,cotton,6
AZ,Sheep,1
