State,Data Item,Value,CV (%)
ALABAMA,"AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - ACRES",73572,7.6
ALABAMA,"AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - ACRES",66571,7.8
ALABAMA,"AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",2115,27.7
ALABAMA,"AG LAND, (EXCL CROPLAND & PASTURELAND), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",1834,4.5
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - ACRES",2022267,4.7
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - ACRES",1559153,12.3
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - ACRES",463114,2.1
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",26289,2.4
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",23217,3.7
ALABAMA,"AG LAND, CROPLAND, (EXCL PASTURED), OWNED, RENTED TO OTHERS - AREA, MEASURED IN COUNT",3073,2.3
ALABAMA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES",0,2.6
ALABAMA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES",0,2.9
ALABAMA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - ACRES",17,15.9
ALABAMA,"AG LAND, CROPLAND, ORGANIC, TRANSITIONING - NUMBER OF OPERATIONS",2,16
ALABAMA,"AG LAND, ORGANIC - ACRES",1545,79.9
ALABAMA,"AG LAND, ORGANIC - ACRES",1300,22.2
ALABAMA,"AG LAND, ORGANIC - ACRES",245,6
