Table A-41. States -- Personal Income Per Capita ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Geographic area,Personal income per capita \1,,,,,,,,,,,,Disposable personal income per capita \1,,,,,,,,,,,
,Current dollars,,,,,Constant (2005) dollars \3,,,,,,,Current dollars,,,,,Constant (2005) dollars \3,,,,,,
,2008 \2,2007,2006,2005,2000,2008 \2,2007,2006,2005,2000,Income rank,,2008 \2,2007,2006,2005,2000,2008 \2,2007,2006,2005,2000, Disposable income index  (U.S. = 100),
,,,,,,,,,,,2008,2000,,,,,,,,,,,2008 \2,2000
     United States,"40,208","39,430","37,728","35,447","30,318","36,458","36,601","35,811","34,690","33,246",(X),(X),"35,501","34,486","33,199","31,362","25,955","32,560","32,688","32,312","31,362","28,911",100.0,100.0
Alabama,"33,768","32,883","31,484","29,889","24,070","30,856","30,728","30,048","29,468","26,474",41,44,"30,540","29,498","28,301","27,073","21,357","28,010","27,960","27,545","27,073","23,789",86.0,82.3
Alaska,"44,039","41,153","38,898","36,812","30,534","39,733","37,954","37,319","36,084","33,271",7,15,"40,052","37,053","35,332","33,610","27,104","36,735","35,121","34,388","33,610","30,190",112.8,104.4
Arizona,"34,335","34,413","33,498","31,563","26,261","30,224","31,121","31,422","30,620","28,577",42,37,"30,960","30,671","29,820","28,223","22,938","28,396","29,071","29,023","28,223","25,550",87.2,88.4
Arkansas,"32,397","31,646","29,573","27,981","22,578","28,676","28,603","27,712","27,035","24,424",47,48,"29,365","28,516","26,798","25,411","20,034","26,933","27,029","26,082","25,411","22,315",82.7,77.2
California,"43,641","43,221","41,404","38,670","33,394","39,160","39,625","38,950","37,418","36,164",11,8,"38,123","37,293","35,943","33,726","27,661","34,965","35,348","34,982","33,726","30,811",107.4,106.6
Colorado,"42,985","42,444","40,912","38,539","33,979","38,867","39,044","38,553","37,611","37,163",13,7,"37,796","36,997","35,959","34,146","28,859","34,665","35,068","34,998","34,146","28,230",106.5,97.6
Connecticut,"56,272","55,609","52,702","48,485","41,921","51,589","52,114","50,221","48,032","46,220",1,1,"46,615","45,458","44,033","40,634","33,837","42,754","43,087","42,856","40,634","37,690",131.3,130.4
Delaware,"40,519","40,068","39,168","37,062","31,007","37,468","38,020","37,709","36,793","34,386",16,13,"35,707","34,920","34,180","32,306","26,427","32,749","33,099","33,267","32,306","29,436",100.6,101.8
District of Columbia,"66,119","63,881","60,080","55,268","40,485","59,608","59,225","57,258","54,715","45,009",(X),(X),"57,301","54,852","52,098","47,829","33,460","52,555","51,991","50,706","47,829","37,270",161.4,128.9
Florida,"39,267","39,204","38,308","35,769","29,079","35,834","36,414","36,107","34,709","31,759",21,20,"35,355","34,888","34,125","31,872","25,392","32,427","33,069","33,213","31,872","28,283",99.6,97.8
Georgia,"34,893","34,650","33,473","32,176","28,531","31,161","31,752","31,436","31,260","31,177",40,26,"31,132","30,616","29,624","28,671","24,606","28,553","29,019","28,832","28,671","27,408",87.7,94.8
Hawaii,"42,055","40,907","38,520","35,851","29,073","37,136","37,196","36,125","34,885","31,675",17,22,"37,626","36,261","34,147","31,805","25,497","34,509","34,370","33,234","31,805","28,400",106.0,98.2
Idaho,"33,074","32,905","31,668","29,642","24,684","29,471","30,145","29,562","28,681","26,821",43,42,"29,742","29,310","28,203","26,617","21,576","27,278","27,781","27,449","26,617","24,033",83.8,83.1
Illinois,"42,347","41,569","39,549","37,168","32,636","38,885","38,873","37,428","36,452","35,856",12,9,"37,255","36,229","34,774","32,904","27,877","34,169","34,340","33,845","32,904","31,051",104.9,107.4
Indiana,"34,605","33,756","32,881","31,302","27,461","31,278","31,483","31,151","30,593","30,224",39,31,"30,931","29,931","29,339","28,046","23,984","28,369","28,370","28,555","28,046","26,715",87.1,92.4
Iowa,"37,402","35,699","33,853","32,306","27,295","33,642","33,095","31,866","31,575","29,582",29,33,"33,656","31,863","30,435","29,238","24,137","30,868","30,201","29,622","29,238","26,886",94.8,93.0
Kansas,"38,820","37,389","35,756","33,130","28,479","34,832","34,620","33,602","32,130","30,846",24,27,"34,496","32,956","31,830","29,700","24,842","31,639","31,237","30,979","29,700","27,671",97.2,95.7
Kentucky,"32,076","31,206","30,129","28,557","24,786","29,190","29,217","28,752","28,071","27,193",46,40,"28,683","27,782","26,975","25,568","21,726","26,307","26,333","26,254","25,568","24,200",80.8,83.7
Louisiana,"36,424","35,363","33,750","30,100","23,570","33,267","33,270","31,955","24,651","25,710",30,45,"33,197","32,015","30,536","27,569","21,073","30,447","30,345","29,720","27,569","23,473",93.5,81.2
Maine,"36,457","35,078","33,735","32,022","26,697","32,450","32,218","31,424","30,798","28,932",33,35,"32,745","31,254","30,148","28,689","23,228","30,033","29,624","29,342","28,689","25,873",92.2,89.5
Maryland,"48,378","47,050","45,121","42,601","34,681","44,108","44,048","42,716","41,781","38,166",5,5,"41,828","40,344","38,922","36,900","29,232","38,363","38,240","37,882","36,900","32,561",117.8,112.6
Massachusetts,"51,254","49,885","47,330","43,897","38,213","46,533","46,440","45,067","43,315","42,052",3,3,"43,610","42,006","40,471","37,668","30,788","39,998","39,815","39,389","37,668","34,294",122.8,118.6
Michigan,"34,949","34,188","33,198","32,265","29,392","32,375","32,628","32,103","32,229","32,920",34,17,"31,340","30,374","29,680","28,908","25,286","28,744","28,790","28,887","28,908","28,165",88.3,97.4
Minnesota,"43,037","41,764","40,015","37,991","32,598","39,229","38,961","37,903","37,275","35,663",10,10,"37,672","36,264","34,959","33,302","27,781","34,552","34,373","34,025","33,302","30,944",106.1,107.0
Mississippi,"30,399","29,549","28,010","26,836","21,556","27,120","27,053","26,348","25,289","23,400",50,50,"28,009","27,106","25,768","24,822","19,491","25,689","25,692","25,079","24,822","21,710",78.9,75.1
Missouri,"36,631","35,308","34,062","32,278","27,892","32,310","32,193","31,645","31,202","30,345",35,30,"32,733","31,329","30,437","28,987","24,336","30,022","29,695","29,624","28,987","27,107",92.2,93.8
Montana,"34,644","33,948","32,204","30,141","23,470","31,419","31,492","30,231","29,436","25,546",38,46,"31,054","30,182","28,874","27,189","20,781","28,482","28,608","28,102","27,189","23,147",87.5,80.1
Nebraska,"39,150","37,908","35,726","34,331","28,600","34,605","34,475","33,143","32,847","30,772",25,29,"35,130","33,720","31,983","31,009","25,072","32,220","31,961","31,128","31,009","27,927",99.0,96.6
Nevada,"41,182","41,145","39,376","38,231","30,985","37,011","37,775","37,812","37,481","33,902",18,14,"37,025","36,543","34,835","33,835","26,881","33,958","34,637","33,904","33,835","29,942",104.3,103.6
New Hampshire,"43,623","42,831","40,999","38,412","34,089","39,282","39,467","38,642","37,432","37,204",9,6,"39,167","38,129","36,731","34,560","29,275","35,923","36,141","35,749","34,560","32,609",110.3,112.8
New Jersey,"51,358","50,265","47,655","43,994","38,666","46,701","46,929","45,562","43,651","42,747",2,2,"44,299","42,867","41,185","38,097","32,333","40,630","40,631","40,084","38,097","36,015",124.8,124.6
New Mexico,"33,430","32,163","30,587","28,931","22,752","29,433","29,105","28,562","27,907","24,666",44,47,"30,335","28,945","27,581","26,293","20,201","27,822","27,435","26,844","26,293","22,501",85.4,77.8
New York,"48,753","47,612","43,973","40,678","34,629","44,094","43,946","42,555","40,781","38,872",6,4,"40,862","39,532","36,921","34,591","28,623","37,477","37,470","35,934","34,591","28,881",115.1,99.9
North Carolina,"35,344","34,952","33,640","32,066","27,916","31,586","31,976","31,409","31,002","30,149",36,32,"31,342","30,730","29,789","28,572","24,255","28,746","29,127","28,993","28,572","27,017",88.3,93.5
North Dakota,"39,870","36,695","33,602","32,353","25,625","36,064","34,200","31,372","31,571","27,964",20,38,"36,268","33,084","30,517","29,688","23,122","33,264","31,359","29,701","29,688","25,755",102.2,89.1
Ohio,"36,021","35,307","34,093","32,498","28,694","32,570","32,670","32,118","31,672","31,419",32,24,"31,992","31,071","30,103","28,799","24,757","29,342","29,451","29,298","28,799","27,576",90.1,95.4
Oklahoma,"35,985","34,336","33,280","30,492","24,606","33,843","33,172","31,880","30,237","27,190",28,41,"32,263","30,538","29,769","27,456","21,724","29,591","28,945","28,973","27,456","24,198",90.9,83.7
Oregon,"36,297","35,712","34,623","32,488","28,719","32,978","33,310","32,749","31,580","31,299",31,25,"31,739","31,340","30,228","28,471","24,536","29,110","29,706","29,420","28,471","27,330",89.4,94.5
Pennsylvania,"40,140","39,058","37,326","34,978","30,111","36,930","36,770","35,816","34,774","33,080",19,16,"35,373","34,158","32,902","30,957","26,000","32,443","32,377","32,023","30,957","28,961",99.6,100.2
Rhode Island,"41,368","40,219","38,392","36,233","29,485","37,611","37,752","36,662","35,575","32,542",15,18,"36,754","35,372","33,943","32,154","25,340","33,710","33,527","33,036","32,154","28,225",103.5,97.6
